image_id,disease,location,organ
25311471_THORAXJNL2014205692F3,,,chest
25678964_fig03,Apocrine atypia,,Glands
18976464_F1,lesion,abdominal cavity,abdomen
25934090_Fig3,Heterogeneous orbito-cerebral mass,orbito-cerebral region,Brain
26328065_fig20447,No diagnosis,heart,chest
26328065_fig20447,No diagnosis,diaphragm/ribs,chest
25678964_fig04,papilloma,,skin
18976464_F4,,,Abdominal region
25678969_fig02,Malignant Peripheral Nerve Sheath Tumor,malignant tumor area,Nerve Sheath
19203390_F1,Cyst,Abdominal region,Abdomen
26587109_f3-wjem-16-777,,Diaphragm,Abdomen
25633122_Fig5,Breast Cancer,,Breasts
19193224_F3,Necrosis,Superior to the head and body,Acetabulum
26568429_Fig1,,,
26568429_Fig1,Pneumonia,,Pleura
25767334_fig3,Infiltration of Neutrophils,,Lung
16111500_F1,thrombus,,superior vena cava
16111500_F1,thrombus,,superior vena cava
27055815_Fig4,Mycobacterium tuberculosis,,Lung
26331069_Fig5,Osteoarthritis,,Femur
17692129_F1,,,
26594383_Fig3,beta ERD,right primary sensorimotor cortex (SM1),SM1
26594383_Fig3,theta ERS,left primary sensorimotor cortex (SM1),SM1
27186253_fig1,pneumopericardium,around the heart,heart
17683553_F1,congestive heart failure,,
17683553_F1,ascites,,
26443452_Fig13,non-Hodgkin's lymphoma,,
26443452_Fig13,biliary inflammation,"thickened, enhancing wall",common bile duct
19019249_F1,,posterior,mediastinum
19019249_F1,,proximal,esophagus
17925867_pone-0001019-g019,,within the vertebra,vertebra
26605274_F1,tumor,right parietal convexity,brain
19949589_F1,heart failure,mediastinal,mediastinum
26597251_Fig1,,,
19881182_F0001,Right Internal JUGULAR Hemodynamic Catheter Misplacement,right internal jugular vein,Heart
26351465_fig8,,,Heart
26599505_pone.0143327.g007,,,
19906310_F1,Hypertrophic Cardiomyopathy,,Heart
26413358_fig3,Edema,Pale ovals,Cerebellum
26413358_fig3,Hypertension-related edema,Small vessel in center,Cerebellum
26623265_f03,acute thrombosis,,portal vein
26623265_f03,acute thrombosis,,portal vein
19019249_F2,,lumen,esophagus
27307803_fig1,spinal arachnoid cyst,T5-T6 level,spinal cord
19946590_F1,bilateral airspace disease,lungs,lungs
26413365_fig2,Leishmaniasis,,
19893711_F0001,,,brain
27307803_fig2,spinal arachnoid cyst,lower thoracic spinal canal,spinal cord
19946552_F1,,,
26413365_fig3,,,
19881030_F0002,tumor,,cranial bone
27307828_fig1a,Wilson's disease,bilateral thalami and bilateral lentiform nuclei,brain
19946557_F1,pneumothorax,left,lung
26413365_fig4,Parasitic Infection,Cytoplasm,Histiocytes
19263078_Fig2,,vascular ring area,aorta
27307828_fig1b,Wilson's disease,dorsal midbrain,brain
19946475_F1,right pleural effusion,right pleural space,pleurium
27307828_fig1c,Wilson's disease,"bilateral thalami, midbrain, uppermost surface of pons",brain
19946475_F3,Pleural Effusion,fluid-filled space in the pleural cavity,Pleura
26576262_F3,Articular regeneration failure,,Knee joint cartilage
19891798_F2,,,brain
27307828_fig1d,Wilson's disease,bilateral thalami,thalium
15988819_F1,cardiomyopathy,,heart
26567528_f10,,,Brain
26567528_f10,,,Heart
26567528_f10,,,Liver
26567528_f10,,,Spleen
26567528_f10,,,Lung
26567528_f10,,,Kidney
27307828_fig1e,Wilson's disease,,brain
27307828_fig1e,hyperintensities,"towards the center, slightly above the middle line",brain
27213067_fig3,Burkitt lymphoma,lymphocytes in the pancreas tissue,pancreas
19891798_F15,,,
27307830_fig1,Pantothenate Kinase 2 Deficiency,Brain,Globus Pallidus
20535377_f2-cln_65p562,Left pneumothorax,Pleural space near the left lung,Lung
27001627_fig1,Apoptosis signs observed,cells being lost from the epithelium,ureteric epithelium
27307830_fig2,pantothenate kinase 2 deficiency,within the brain,globus pallidus
20535377_f3-cln_65p562,,,Lung
27121241_f2-ijmm-37-06-1501,,,Heart
19936298_pntd-0000555-g001,,,
27365955_F3,Schwannoma,C1 and C2 levels,Spinal Cord
20406474_F5,Lung metastasis,,lungs
27315798_Fig1,Inflammation,disrupted and irregular urothelium,bladder wall
27315798_Fig1,Inflammation,severe submucosal edema indicated by a hollow box,submucosa
27315798_Fig1,Inflammation,"inflammation with congestion and cell infiltration, marked by red arrow",detrusor smooth muscle
27315798_Fig1,Inflammation,ulceration marking disruption of tissue continuity,submucosa
19936200_F1,,,
27307832_fig3,Prostate carcinoma,,Lower pelvis
27307832_fig3,Prostate carcinoma,Right proximal femur,Pelvis
21057994_Fig1,Hip Fracture,,Hip Joint
27881889_fig1,,,phyllodes tumor
19909506_F1,hepatocellular carcinoma,,liver
27307834_fig3b,tumor,middle ear,temporal bone
27307834_fig3b,tumor,left internal auditory canal (IAC),temporal bone
27887023_rjw187F7,,,yolk sac
19909506_F4,unknown,parotid space,parapharynx
27307837_fig4,periosteal osteoblastoma,,bone
21286429_F1,,,
27982105_f1,,,pulmonary tissue
16100468_F2,,left side of the hard palate,hard palate
27307842_fig4,OHVIRA syndrome,hemivagina,uterus
21286445_F1,aspiration pneumonia,middle lower lobes,lungs
27982094_f1,acute colitis,in the colon area,colon
19946590_F2,Pneumonia,Lung fields,Lungs
27307842_fig5,OHVIRA syndrome,left,uterus
21461048_fig1,,lower regions of both lungs,lungs
27982094_f2,Chronic colitis,,Colon
19946552_F2,ground glass opacity,"right middle lobe, right upper lobe",lungs
27307842_fig6,utterine didelphys associated with OHVIRA syndrome,dilated vagina contents,vagina
27307842_fig6,utterine didelphys associated with OHVIRA syndrome,arrowhead indicating normal-appearing right uterine horn,right uterus
27307842_fig6,utterine didelphys associated with OHVIRA syndrome,small paired arrows indicating dilated left uterine horn with low T2-signal-intensity blood products,left uterus
21461048_fig2,,,Chest
27993139_Fig10,,terminal bronchiole (TB),lungs
19946475_F4,,,Lung
27307842_fig7,OHVIRA syndrome,,uterus
27307842_fig7,dilated ureter,left,bladder
27307842_fig7,refluxed blood products,paired arrows pointing to it,urterium
21422658_F1,Paracardiac Infiltration,Adjacent to the left side of the heart border,Heart
21422658_F1,Hyperaeration,"Right lung, with increased lung volume and darker appearance",Lungs
28116088_Fig3,Renca-MUC1 tumor,,tumor
21484179_Fig2,,,heart
28094779_f6,Colitis,,colon
28094779_f6,Colitis,,colon
19946477_F1,Inflammation/Cholecystitis,,Gallbladder
19946477_F1,Possible Gallstone Infection,,Gallbladder
27307854_fig8,Sotos syndrome,,bone marrow
27307854_fig8,soft-tissue sarcoma,,
27307854_fig8,enlarged left internal iliac lymph nodes,left internal iliac area,bone marrow
27307854_fig8,enlarged left inguinal lymph nodes,left inguinal region,bone marrow
21529357_F2,,,sternum
27665994_fig_004,Helicobacter pylori infection,,small intestine
19946477_F2,acute cholecystitis,near the gallbladder,abdomen
27307856_fig3ac,chondromyxoid fibroma,base of the skull,sphenoid bone
21660230_fig1,,Lower right side of the chest,Lung
28133559_fig4,Osteochondroma,Adjacent to a cartilaginous cap,Bone
19946500_F2,edema,right gluteal maximus and medius muscles,pelvis
27307872_fig3a,Leydig-cell tumor,,testis
21660230_fig2,ground glass opacities,lung fields,lungs
28098220_f1,,subcutaneous dermis,skin
20046252_f1-wjem-10-288,abscess,,psoas muscle
20046252_f1-wjem-10-288,abscess,medial border,psoas muscle
27307868_fig2ad,chronic hepatitis C,,Liver
27307868_fig2ad,multifocal nodular steatosis,,Liver
21660210_fig1,,right lung,lungs
28096327_rjw233F5,Cystic Spaces,Within the layers of the Submucosa and Muscularis Propria,Submucosa and Muscularis Propria
28096327_rjw233F5,Hyperplastic Mucosal Changes,Within the mucosal layer,Submucosa and Muscularis Propria
19943922_F2,Mass involving mesentery,,Abdomen
19943922_F2,Thickened wall of small intestine,around the mass,Small Intestine
27307869_fig3de,MPNST,"right L1-L2 neural foramen and its extension to the L2 vertebral body, pedicles, and thecal sac displacement",L1-L2 vertebrae
21712924_F0002,Pleural effusion,,Pleurium
28252108_f7,Retinitis Pigmenti (RVO),inner nuclear layer,retina
19861752_F0002,None,Nasal Cavity,Orbit
19861752_F0002,None,Left,Maxillary Antrum
21712925_F0001,,,Lungs
27354991_f0010,cervical cancer,right side,cervix
21712928_F0001,Small Cell Lung Cancer,Mid and Lower Zones of the Lungs,Lung
28253358_pone.0173072.g007,,,
19139611_F0001,,upper segment,right lower lobe
27330606_fig1,Herlyn-Werner-Wunderlich syndrome,utерine horns,uterus
21712928_F0002,high-density micronodular opacities,mid and lower zones of the lungs,lungs
28253358_pone.0173072.g008,,,nucleoplasm
19139612_F0001,Benign concentrates,,Renal sinus
19139612_F0001,Benign concentrates,within the left ureter,Pelvicalyceal system
27330606_fig2,Herlyn-Werner-Wunderlich syndrome,,vaginal
21804813_F1,,lower,trachea
21804813_F1,,right main,bronchus
28293485_FIG1,Adenocarcinoma,,Pancreas
28293485_FIG1,Adenocarcinoma,Within the lung tissue,Lung
19139624_F0001,Splenomegaly,Within the spleen,spleen
27330606_fig3,Herlyn-Werner-Wunderlich syndrome,right renal fossa,kidney
28459882_pone.0176873.g003,,"epididymal, inguinal, or peri-renal",adipose tissue
19318750_F0002,Dilated small bowel loops,,Large Intestine
19318750_F0002,Calcific peritoneal deposits,Peritoneum,Abdomen
27326296_fig1,Ovarian sarcoidosis,left adnexal mass,pelvis
27326296_fig1,Ovarian sarcoidosis,complex cystic lesion,pelvis
27326296_fig1,Ovarian sarcoidosis,enlarged lymph node in the left internal iliac chain,pelvis
21792357_fig5,,,
19935789_fig1,,,
27326306_fig3a,Ovarian Torsion,Papillary Projections,Ovary
21808403_F1,Pneumonia/Infection,,Lung(s)
21808403_F1,,left upper lobes,Lungs
21808403_F1,Unknown,right side,Lungs
28496538_F3,Focal acute chronic gastritis,Iron-rich material on the epithelial surface,Epithelium of the stomach/gastric area
15988818_F1,Hematoma,,Spleen
15988818_F1,Hemoperitoneum,,Abdomen
21808403_F3,No disease mentioned,AP view,Lung
28515693_F5,,,Kidney
15988820_F1,Obstruction,lumen of the jejunum,jejunum
27326269_fig1,,,limbs
27326269_fig1,,,lower extremities
27326269_fig1,,lumbar region,spine
27326269_fig1,,lumbar region,spine
27326269_fig1,,oligohydramnios,abdomen
27326269_fig1,,,intra-abdominal
27326269_fig1,gallbladder,,posterior intrahepatic region
21707974_F1,Osteomyelitis,proximal metaphysis,humerus
21707974_F1,Arthritis,right side,glenohumeral joint
21707974_F1,Arthritis,left side,glenohumeral joint
20111882_Fig6,bacterial bronchopneumonia,left lower lobe,lung
27326269_fig3,sirenomelia,,lower extremities
21707974_F2,Osteoporosis-like findings,proximal and distal metaphysis,humerus
28503389_FIG7,,,breast tissue
20459743_F1,dissecting aneurysm,right aortic arch,aorta
27307939_fig1,hematoma,posterior subcutaneous fat,trunk
21707974_F3,,,Lungs
28279018_Fig7,,,
20459743_F2,Kommerell's diverticulum,origin,subclavian artery
27307939_fig2,Muscle Retraction,Spinous Processes of Thoracic Vertebrae,Spinal Column
28773189_materials-10-00831-f009,scaffold types,,calvarium
20459743_F3,,,Thoracic Aorta
27307925_fig2,,Around spinous processes,Trapezius muscles/Spina
28775247_f2-amjcaserep-18-859,,,
19847088_F0001,mass lesion,base,urinary bladder
27307901_fig3,,left,endolymphatic sac and petrosal bone
21804718_F1,,,
28828097_fig6,fibromatosis,,fascia
20594305_F1,hepatic sarcoma,,Liver
27307901_fig4,Neurofibromatosis type 2,"Left endolymphatic sac, petrosal bone, mastoid air cells",Brain and facial bones
21935284_F1,Scoliosis,Right,Spine
20927212_F0002,infiltrative mass,lateral orbital wall,orbit
27307901_fig5,endolymphatic sac tumor,left,endolymphatic sac
21949532_F1,Mass-like lesion,Left hilar zone,Lung
28750860_f0010,severe acute malnutrition,,intestines
20927212_F0005,Osteolysis,Lateral Orbital Wall,Orbit
27307901_fig6,endolymphatic sac tumor,left endolymphatic sac and petrosal bone,endolymphatic sac
22025949_F1,,,
20927213_F0003,Abnormality,intraconal area,orbit
27307909_fig1,adenocarcinoma (clear-cell variant),inferior,urinary bladder
22025949_F3,Pneumonic Infiltration,Lung Tissue,Lung
22025949_F3,Atelectasis,Right Lung Field,Lung
29112971_pone.0187419.g003,,airway,Lung
29112971_pone.0187419.g003,,airway,Lung
20661400_F0005,posterior four-part fracture-dislocation,humeral head,shoulder
27307909_fig2,adenocarcinoma,,urinary bladder
22025949_F5,,field,right lung
29112971_pone.0187419.g004,,,airway
20579339_F1,Pseudoaneurysm of the aorta,Aortic wall,Aorta
27307909_fig3,Adenocarcinoma,Vesicular,Urogenital
21968185_F3,eosinophilic pneumonitis,,lung
28800953_fig3,null,,skin
28800953_fig3,null,,skin
28800953_fig3,null,,BMZ
20689733_fig2,Intracranial Cholangiocarcinoma,"right, middle, left hepatic veins; segment 3 of the liver",Liver
27307909_fig4,"Adenocarcinoma, clear-cell variant",mass,periurethrum
21970610_F1,homogenous opacity,,right hemithorax
29147643_fig3,anal gland adenocarcinoma,lamina propria and submucosa,colon
29147643_fig3,metastatic anal gland adenocarcinoma,renal cortex of the right kidney,kidney
20672008_fig1,unknown,neck,bladder
27307904_fig2,breast carcinoma,right breast,breast
22121421_F1,Cardiac hydatid cyst,Both lung fields,Lung(s)
20186415_Fig6,No specific disease mentioned,midface,ZYGOMA
27330641_fig3,venous tumor thrombus,left common iliac vein,ilium
20591172_F3,cystic masses,pelvic region,abdomen
27330641_fig4,venous tumor,thrombus,pelvis
22220258_f1-mjhid-3-1-e2011061,bilateral lung infiltrates,areas of increased opacity,lungs
16768194_F1,mass lesion,left,ethmoid sinus
27330615_fig3b,hepatic metastasis,nodular mass,liver
22220258_f2-mjhid-3-1-e2011061,,,chest
29107286_fig2,,,Liver
27139586_f8,3CP nitroxide probe,,heart
27139586_f8,3CP nitroxide probe,,liver
27139586_f8,3CP nitroxide probe,,lungs
27139586_f8,3CP nitroxide probe,,kidneys
27139586_f8,3CP nitroxide probe,,pancreas
22264278_F1,,,
29121581_fig0020,Phyllodes tumor,,Lungs
20694149_pone-0011927-g002,,,
27464298_f2-cln_71p404,,,
27464298_f2-cln_71p404,,,
27464298_f2-cln_71p404,,,
27464298_f2-cln_71p404,,,
27464298_f2-cln_71p404,,,
27464298_f2-cln_71p404,,,
27464298_f2-cln_71p404,,,
27464298_f2-cln_71p404,,,
22412782_F1,,,
29121583_fig0010,lymphocytic phlebitis,subseral,vein
20694149_pone-0011927-g003,,,tympanoperiotic complex
27464298_f3-cln_71p404,,,
27935825_DMM027326F5,Tuberculosis,Posterior,Lung
22416168_F1,,Partly lodge,Trachea
22416168_F1,,Partly along,Left Main Bronchus
29163541_F1,bacteria,,lungs
20694149_pone-0011927-g006,,,Tympanoperiotic complex
28104946_F3,,,left internal auditory canal (IAC)
22481994_F1,Bilateral pleural effusion,Both sides of the pleural space around the lungs,Pleurium
29126417_Fig4,Angiomatoid Nodules,,Spleen
20694149_pone-0011927-g017,,,
28104946_F4,,,cerebellum
22296612_F1,,,Chest
29214173_fig9,cartilage degeneration,,cartilage
20694149_pone-0011927-g025,,,Ear
22296612_F2,Tuberculosis,Lung fields,Lung
20663221_F2,hematoma,medial and posterior compartments,thigh
28078151_fig4,,right side,Optic Nerve
22296612_F3,infiltrates,"Upper, Middle, Lower zones on both sides of the lung",Lung(s)
29142215_Fig1,Chronic inflammation/fibrosis,Wound area,Dermis
20694158_F3,,cerebrum,brain
20694158_F3,,cerebellum,brain
20694158_F3,,brainstem,brain
20694158_F3,,the bony structure,skull
28078151_fig5,abnormality,doughnut sign,optic nerve sheath
22481951_fig1,sternal segment dislocation,the sternum,sternum
30013444_F3,LUAD,Pleura,Lung
21206629_F0001,pancreatitis,,pancreas
21206629_F0001,pancreatitis,,pancreas
28473865_fig4,breast,,breast
22481951_fig2,Dislocation,reduced,sternum
30008919_f1-ol-0-0-8938,non-small cell lung cancer,,lung
21120293_f3-cln_65p953,Skeletal Deformity,Posterior and Anterior Cranial Fossa,Skull
28491313_fig1-2050313X17700347,,,
22481951_fig3,,,sternum
29989073_F1,,,testes
21120293_f4-cln_65p953,neurocentral synchondrosis,posterior elements,vertebra
21120293_f4-cln_65p953,pseudo-Jefferson fracture,lateral mass,vertebra
28844017_f0010,renal tumors,,kidney
22479281_F1,Gas accumulation,perigastric region,stomach
22479281_F1,Gas accumulation,pericolic region,colon
30046344_fig2,Hyperuricemic-related renal disease,glomuli,kidney
30046344_fig2,Hyperuricemic-related renal disease,glomuli,kidney
30046344_fig2,,,
21120293_f5-cln_65p953,posterior arch rachischisis,posterior arch,spine
29245264_F3,cystic mass,,spinal cord
22493608_F1,Constrictive pericarditis,calcification,pericardium
30026870_F4,,,tumor
30026870_F4,,in the spleen,spleen
21120293_f6-cln_65p953,,odontoid process,cervical spine
29349091_fig2-2324709617750179,Infarction,Right posterior frontal cortex,Cortex
29349091_fig2-2324709617750179,Cortical vein thrombosis,Right posterior frontal region,Cortical vein
22536265_fig4,,,chest
29992093_fig2,Prostatic Carcinoma,,Appendix
21120293_f8-cln_65p953,spinal bifida occulta,vertebral arches,spine
21120293_f8-cln_65p953,extensive malsegmentation along the posterior spine elements,posterior spine elements,spine
21120293_f8-cln_65p953,"bilateral rib intrinsic anomalies such as partial fusion, broadening, and bifid rib",both sides,spine
29335483_Fig4,...,...,...
22628940_F1,bilateral pulmonary infiltrates,,pulmonary region
22628940_F1,ill-defined cavities,cavities within the lung tissue,lung tissue
30005364_fig0020,chronic colitis,mucosa,colon
21120293_f9-cln_65p953,,Upper three lumbar vertebrae,Spine
29440532_F1,hippocampal damage,between the patient and healthy control participant,hippocampus
30013343_f8-ijn-13-3897,,,organs
21120293_f10-cln_65p953,Spinal fusion failure,Spinous processes,Lumbar vertebrae
29692374_F1,,,
22655281_F4,HIV,,
22655281_F4,TB,,
22655281_F4,HIV,,lungs
22655281_F4,TB,,lungs
30089122_pone.0200615.g002,Collagen-induced arthritis,,paw
20959010_F1,,,liver
20959010_F1,,,spleen
20959010_F1,,,kidneys
20959010_F1,,,intestines
20959010_F1,,,spine
20959010_F1,,,abdominal muscles
29692374_F2,,patellofemoral joint,knee
30092405_fig5,Lung cancer,,lung
30092405_fig5,Lung cancer,,lung
20959010_F4,,,
29692374_F3,,SM-TCL bursa,pelvis
22673136_F1,Mass lesion,left upper lobe,Lung
29526865_fig_001,Inflammatory cell clusters,,Lung
20300899_Fig3,,,ligamentum flavum
29692374_F4,,,
22891085_F0001,,paracardiac,heart
30563160_cancers-10-00494-f003,papillary thyroid carcinoma,,thyroid
30563160_cancers-10-00494-f003,invasive encapsulated follicular variant of papillary thyroid carcinoma (inEFVPTC),,thyroid
30563160_cancers-10-00494-f003,tall cell variant of PTC (TCVPTC),,thyroid
21060769_F5,,,tumor
29692374_F5,Osteoarthritis,Meniscus,Knee
22935547_F1,Rib fractures,ribs,ribcage
22935547_F1,Subcutaneous emphysema,,chest
22935547_F1,Lung opacities,right side,lungs
22935547_F1,Residual pneumothorax,left side,chest
30662792_F4,,,Muscle/Fibrous Tissue
30662792_F4,,,Adipose Tissue
21060698_F1,,intussusception,colon
21060698_F1,,intussuscipiens,colon
29692374_F6,Grade III changes of articular cartilage,,articulation cartilage
23056897_F0001,Pneumonia,,Lung(s)
29793116_f0045,xenograft tumors,,tumor
29793116_f0045,xenograft tumors,,tumor
29793116_f0045,xenograft tumors,,tumor
23056750_F0001,,,right costophrenic sinus
30740201_rjy340F4,Parenchymal fibrosis,,organ unspecified
30740201_rjy340F4,Lymphoplasmacytic infiltrate,Involving a vein,Heart
21060708_F3,,,
23056776_F0001,,Right hemidiaphragm,Abdomen
30740206_rjz005F2,Diverticulosis,top part of the image,Small intestine
21060713_F2,Pancreatic Cancer,,Pancreas
30039022_F3,,left medial and lateral muscles of the orbit,orbit
23056776_F0002,,right hemidiaphragm,diaphragm
30740206_rjz005F3,Diverticulosis,Rectum,Colon
21060713_F5,,,Pancreas
30039053_F5,,,Kidney
23056848_F0001,Loeffler's-like syndrome,infiltrates or opacities,lungs
23056848_F0001,Acute Lymphoblastic Leukemia (ALL),,
23056848_F0001,Strongyloidiasis,,
30740206_rjz005F4,Inflammatory Exudate,,Large Intestine
30740206_rjz005F4,Food Debris,upper left,Large Intestine
21297933_F4,Spinal canal narrowing,C2,Spine
30211011_fig1,,,
23056848_F0002,Loeffler's-like Syndrome,transient pulmonary infiltrates,lungs
23056848_F0002,Acute Lymphoblastic Leukemia (ALL),,lungs
21297933_F5,Spinal canal narrowing due to spinal laminectomy,C2 level,Vertebra
30723652_FIG3,soft tissue mass,Right Frontal Lobe,Frontal Lobe
30723652_FIG3,mass effect,Medial Left Frontal Lobe,Frontal Lobe
30723652_FIG3,vasogenic edema,"Around the mass, Right Frontal Lobe",Frontal Lobe
30723652_FIG3,necrosis,Posterior margin,Frontal Lobe
22997503_fig1,hepatocellular carcinoma,bilateral lung fields,lungs
31284478_molecules-24-02475-f001,oxazolone-induced colitis,,colon
21286227_SHORTS-10-075F1,Lesions,,Liver
31284478_molecules-24-02475-f002,Colitis,,Colon
21445312_pone-0017932-g012,,front lateral,frontal bone
21445312_pone-0017932-g012,,back of the skull,parietal bone
21445312_pone-0017932-g012,,where the trigeminal nerve exits,braincase
21445312_pone-0017932-g012,,near orbitosphenoid bone,skull
30838323_F1,,-0.7,brain
22989346_F1,,,
31284478_molecules-24-02475-f005,colitis,,colon
31284478_molecules-24-02475-f005,colitis,,intestine
30868033_FIG1,hemorrhagic cavernous malformation,right,optic chiasm
23094190_fig1,Opacity,left lateral anterior mediastinum,mediastinum
31666618_Fig2,SI (solubility-inducing) injury,outer retinal layer,retina
31666618_Fig2,SI (solubility-inducing) injury,outer retinal layer,retina
30854447_F5,prostate tumor,prostate,prostate
23057758_F2,mediastinal dilation,,mediastinum
32211513_F4,Cerebellar Atrophy,Cerebellum,Cerebrum
32211513_F4,Cerebellar Atrophy,Granule Cell Layer,Cerebrum
32211513_F4,Cerebellar Atrophy,Granule Cell Layer,Cerebrum
21445312_pone-0017932-g015,,,skull
31175270_Fig4,Schizophrenia,,cerebrum
23013845_F1,diffuse pulmonary interstitial emphysema,right lung field,pulmonary
31175468_Fig8,,,肺部
23013845_F2,diffuse pulmonary interstitial emphysema,,lung
23013845_F2,pseudocystic changes,alveoli,lung
21448278_pone-0017926-g003,ATONum,within the tumor,tumor
31174503_Fig1,Large hepatic cavernous hemangioma (LHH),,Liver
31174503_Fig1,LHH,peripheral nodular hyperenhancement in the artery phase,Liver
23013845_F3,diffuse pulmonary interstitial emphysema,,right lung
32201659_FIG3,Sarcoidosis,,Muscle
21375769_F2,tumor,within the knee joint,knee joint
21375769_F2,tumor,near the femur,knee joint
21375769_F2,tumor,near the tibia,knee joint
21375769_F2,tumor,near the patella,knee joint
31263612_fig1,,,
23013845_F4,Diffuse pulmonary interstitial emphysema,,Lung(s)
32257789_fig5,veno-occlusive disease,subpleural space,pleura
32257789_fig5,hemangiomatosis,adjacent to the interlobar septum,alveolar septa
21468248_F2,coronary sinus ostial atresia,right atrium,heart
31263612_fig2,,,
23013845_F5,pulmonary interstitial emphysema,in the lungs,pulmonary
21461273_F1,P. westermani,anterior segment,right upper lobe of the lung
23166552_F1,pneumonia,right upper and lower lung fields,lungs
32415137_Fig1,tumor,,organism
21572624_F2,Leiomyoma,,Abdomen
31723793_F1,Bing-Neel syndrome,cervical,spinal cord
31723793_F1,Bing-Neel syndrome,thoracic,spinal cord
31723793_F1,Bing-Neel syndrome,lumbar,subarachnoid space
23166552_F4,pneumonic infiltration,reduced area of opacity in the lung tissue,lung
23166552_F4,effusion,smaller area of fluid accumulation in the pleural space,lung
21572613_F1,Liver Abscess,Within the Liver,Liver
31723793_F2,contrast-enhancing lesions,cervical,spinal cord
31723793_F2,contrast-enhancing lesions,thoracic,spinal cord
31723793_F2,reduced contrast enhancement,,intradural lumbar nerve roots
23166559_F1,Lung cancer,,lungs
32448273_Fig9,,,Dorsal skin
32448273_Fig9,,,Dorsal skin
32448273_Fig9,,,Dorsal skin
32448273_Fig9,,,Dorsal skin
32448273_Fig9,,,Dorsal skin
32448273_Fig9,,,Dorsal skin
32448273_Fig9,,,Dorsal skin
32448273_Fig9,,,Dorsal skin
21572614_F2,Inflammatory swelling,,Submandibular gland
