25688320_fig3,marrow edema,cuboid bone,foot
25688320_fig3,marrow edema,navicular bone,foot
25667701_F0001,opacity,right side,lung
25667775_fig3,perineural invasion,small nerve branch,nerve
25667775_fig3,squamous cell carcinoma,surrounding,lung
19183489_F1,abscess,right lower quadrant,abdomen
19183489_F1,abscess,left lower quadrant,abdomen
19183489_F1,small bowel obstruction,,small bowel
25688320_fig4,cuboid-navicular coalition,foot,foot
25523232_Fig11,ventricular septal defect,heart,heart
25523232_Fig11,atelectasis,lung,lung
25685588_fig3,spindly tumor cells,unknown,unknown
19183489_F2,biliary stent,left lower quadrant,common bile duct
25934090_Fig1,hyperintense signal,optic nerve,optic nerve
25311471_THORAXJNL2014205692F3,chest x-ray rates,lung,lung
25678964_fig03,apocrine atypia,breast tissue,breast
18976464_F1,heterogeneous lesion,cavity,abdominal cavity
25934090_Fig3,orbito-cerebral mass,orbito-cerebral region,brain
25934090_Fig3,triventricular dilatation,ventricles,brain
26328065_fig20447,cardiothoracic ratio,heart,heart
26328065_fig20447,costophrenic angles,costophrenic,diaphragm
25678964_fig04,papilloma,tissue sample,breast
18976464_F4,tumor activity,,liver
18976464_F4,tumor activity,,spleen
18976464_F4,tumor activity,,kidneys
18976464_F4,tumor activity,,intestines
26587109_f1-wjem-16-777,elevated diaphragm,diaphragm,diaphragm
25678969_fig02,malignant peripheral nerve sheath tumor,spindle cells,nerve
19203390_F1,cyst,empty,abdomen
26587109_f3-wjem-16-777,needle decompression,empty,abdomen
25633122_Fig5,masses,masses,skin
19193224_F3,necrosis,roof,acetabulum
26568429_Fig1,pleural effusion resolution,pleura,pleura
26568429_Fig1,mediastinum enlargement,mediastinum,mediastinum
25767334_fig3,lung inflammation,lung,lung
25767334_fig3,lung inflammation,lung,lung
25767334_fig3,lung inflammation,lung,lung
25767334_fig3,lung inflammation,lung,lung
16111500_F1,thrombus,cava,superior vena cava
27055815_Fig4,root mean squared error,,lung
27055815_Fig4,Pearson correlation coefficient,,lung
27055815_Fig4,p-value,,lung
26331069_Fig5,bone regeneration,bone,bone
17692129_F1,infection,tissue,graft
26594383_Fig3,beta ERD,right primary sensorimotor cortex (SM1),brain
26594383_Fig3,beta ERD,bilateral primary sensorimotor cortex (SM1),brain
26594383_Fig3,theta ERS,left SM1,brain
27186253_fig1,pneumopericardium,pericardium,pericardium
17683553_F1,lymphadenopathy,hilum,mediastinum
17683553_F1,lymphadenopathy,mediastinum,mediastinum
26443452_Fig13,non-Hodgkin's lymphoma,common bile duct,bile duct
19019249_F1,large tubular intraluminal mass,proximal esophagus,esophagus
19019249_F1,shadow ventrally of the vertebra,posterior mediastinum,vertebra
17925867_pone-0001019-g019,hominiform,LTP,vertebra
17925867_pone-0001019-g019,hominiform,pedicle,vertebra
17925867_pone-0001019-g019,hominiform,facet,vertebra
26605274_F1,enhancing mass,right parietal convexity,brain
26605274_F1,peritumoral edema,,brain
19949589_F1,mediastinal widening,thoracic cavity,mediastinum
26597251_Fig1,CT,glomeruli,kidney
26597251_Fig1,T2-weighted MR,glomeruli,kidney
26597251_Fig1,synthetic CT,glomeruli,kidney
26597251_Fig1,T2 with water bulk density assignment,glomeruli,kidney
26597251_Fig1,T2 with bulk density assignments of water and bone,glomeruli,kidney
19881182_F0001,internal jugular hemodialysis catheter,right internal jugular vein,right internal jugular vein
26351465_fig8,cellular infiltrations,heart,heart
26599505_pone.0143327.g007,automatic segmentation,segmentation,lung
19906310_F1,cardiomegaly,left ventricle,heart
19906310_F1,left ventricular hypertrophy,left ventricle,heart
19906310_F1,ST-T wave changes,heart,heart
19906310_F1,decreased left ventricular systolic function,left ventricle,heart
26413358_fig3,edematous foci,pale ovals,cerebellum
26623265_f03,thrombosis,left,portal vein
19906310_F3,ST-T changes,heart,heart
19906310_F3,systolic function,heart,heart
26371508_fig1s4,organogenesis defects,glomeruli,kidneys
26371508_fig1s4,organogenesis defects,alveoli,lungs
26371508_fig1s4,organogenesis defects,parotid,salivary glands
19019249_F2,polyp,esophagus,esophagus
27307803_fig1,arachnoid cyst,intradural space,spinal cord
19946590_F1,airspace disease,bilateral,lungs
26413365_fig2,Leishmania amastigotes,macrophages,macrophages
19893711_F0001,ischemic stroke,cerebral,brain
27307803_fig2,extramedullary intradural spinal arachnoid cyst,spinal canal,spinal
27307803_fig2,central cord edema,spinal cord,spinal
19946552_F1,pulmonary disease,alveoli,lungs
26413365_fig3,ulcerated papule,skin,skin
26413365_fig3,mixed inflammatory infiltrate,skin,skin
19881030_F0002,tumor,cranial bone,skull
27307828_fig1a,Wilson's disease,thalami,brain
27307828_fig1a,Wilson's disease,lentiform nuclei,brain
19946557_F1,pneumothorax,lung,lung
26413365_fig4,parasitized histiocytes,cytoplasm,histiocytes
19263078_Fig2,vascular ring,trachea,trachea
27307828_fig1b,Wilson's disease,dorsal midbrain,brain
19946475_F1,pleural effusion,right pleural space,lung
26609232_f8-ijn-10-6943,histological changes,empty,organ
27307828_fig1c,Wilson's disease,thalami,brain
19946475_F3,contrast medium extravasation,irregular area,pleural cavity
19946475_F3,pleural effusion,large,pleural cavity
26576262_F3,knee chondral defect,chondral,knee
19891798_F2,ventricle segmentation,ventricle,ventricle
27307828_fig1d,Wilson's disease,bilateral,thalami
27307828_fig1d,Wilson's disease,bilateral,nuclei
15988819_F1,cardiomegaly,heart,heart
26567528_f10,glomeruli,glomeruli,kidney
19891798_F9,bone protrusion,anterior,skull
27307828_fig1e,Wilson's disease,dorsal midbrain,brain
15988819_F5,heart,heart,heart
27213067_fig3,Burkitt lymphoma,tissue,pancreas
19891798_F15,MRI template,brain,brain
27307830_fig1,pantothenate kinase 2 deficiency,globus pallidus,brain
20535377_f2-cln_65p562,pneumothorax,left,lung
20535377_f2-cln_65p562,hydrothorax,right,pleural cavity
27001627_fig1,apoptosis,epithelium,ureter
27001627_fig1,pyknotic nuclei,epithelium,ureter
27001627_fig1,karyorrhexis,epithelium,ureter
27001627_fig1,apoptosis,epithelium,ureter
19891802_F5,Speckle Reducing Anisotropic Diffusion,,CT scan
27307830_fig2,pantothenate kinase 2 deficiency,globus pallidus,brain
20535377_f3-cln_65p562,pneumothorax,lung,lung
20535377_f3-cln_65p562,hemothorax,lung,lung
20535377_f3-cln_65p562,reaccumulation,lung,lung
27121241_f2-ijmm-37-06-1501,isoproterenol hydrochloride,,heart
27121241_f2-ijmm-37-06-1501,Hydroxysafflor yellow A,,heart
27121241_f2-ijmm-37-06-1501,acetyl-11-keto-β-boswellic acid,,heart
27365955_F3,dumbbell schwannoma,C1 and C2 levels,spinal cord
20406474_F5,cannon ball metastases,lung tissue,lungs
27315798_Fig1,inflamed bladder mucosa,empty,bladder
27315798_Fig1,submucosal edema,submucosa,bladder
27315798_Fig1,hemorrhagia,submucosa,bladder
27315798_Fig1,ulceration,bladder wall,bladder
27315798_Fig1,congestion,detrusor muscle,bladder
27315798_Fig1,inflammatory cell infiltrates,detrusor muscle,bladder
27307832_fig3,prostate carcinoma,prostate,prostate
21057994_Fig1,CVA,brain,brain
21057994_Fig1,COPD,lungs,lungs
21057994_Fig1,IHD,heart,heart
21057994_Fig1,AMI,heart,heart
27881889_fig1,PDGFR1 and PDGFR2,,stroma
19909506_F1,homogenously enhancing lesion,unknown,unknown
27307834_fig3b,glomus jugulotympanicum,,middle ear
27307834_fig3b,glomus jugulotympanicum,,temporal bone
21063468_T1,lungs,large areas,lungs
21063468_T1,heart,center,heart
21063468_T1,bones,chest,bones
27887023_rjw187F7,Schiller-Duval bodies,blood vessel,tumor
19909506_F4,parapharyngeal lesion,parapharyngeal space,head
27307837_fig4,periosteal osteoblastoma,cortical disruption,bone
21286429_F1,pneumonia,lung,lung
27982105_f1,pulmonary tissue,tissue,lung
16100468_F2,mass lesion,left side,hard palate
16100468_F2,focal bony destruction,left side,hard palate
27307842_fig4,uterine didelphys,uterus,uterus
27307842_fig4,OHVIRA syndrome,uterus,uterus
21286445_F1,aspiration pneumonia,middle lower lungs,lungs
21286445_F1,fibrotic scar,left apex,lungs
21286445_F1,endotracheal tube tip,near carina,lungs
27982094_f1,acute colitis,colon,colon
19946590_F2,ground-glass opacities,lung fields,lung
27307842_fig5,uterine didelphys,uterus,uterus
27307842_fig5,OHVIRA syndrome,uterus,uterus
27307842_fig5,hydrosalpinx,left,uterus
27307842_fig5,hemivagina,left,vagina
21461048_fig1,bilateral basal infiltrates,lower regions,lungs
27982094_f2,chronic colitis,colon,colon
19946552_F2,ground-glass opacity,right middle lobe,lungs
19946552_F2,ground-glass opacity,right upper lobe,lungs
27307842_fig6,uterine didelphys,right and left uterine horns,uterus
21461048_fig2,lung opacities,empty,lung
21461048_fig2,consolidation,empty,lung
21461048_fig2,abnormalities,empty,lung
27993139_Fig10,glomerulus,renal corpuscles,kidney
27993139_Fig10,glomerulus,renal corpuscles,kidney
27993139_Fig10,tubules,renal tubules,kidney
27993139_Fig10,hepatocytes,hepatic tissue,liver
27993139_Fig10,portal areas,hepatic tissue,liver
27993139_Fig10,lymphocytes,white pulp,spleen
27993139_Fig10,blood vessels,red pulp,spleen
19946475_F4,pneumothorax,lung,lung
19946475_F4,pleural effusion,pleura,pleura
19946475_F4,air in mediastinum,mediastinum,mediastinum
27307842_fig7,uterine didelphys,left vaginal canal,uterus
21422658_F1,paracardiac infiltration,near the left side of the heart border,heart
21422658_F1,hyperaeration,right lung,lungs
28116088_Fig3,necrosis,,tumor cells
28116088_Fig3,giant cells,,tumor cells
28116088_Fig3,hemorrhages,,tumor cells
28116088_Fig3,inflammatory cells,,tumor cells
28116088_Fig3,necrosis,,tumor cells
28116088_Fig3,giant cells,,tumor cells
28116088_Fig3,mitosis,,tumor cells
28116088_Fig3,macrophages,,tumor cells
28116088_Fig3,macrophages,,tumor cells
28116088_Fig3,macrophages,,tumor cells
28116088_Fig3,macrophages,,tumor cells
19946475_F7,CT scan,unknown,unknown
27307854_fig7,mass of complex fluid,surgical site,knee joint
27307854_fig7,complex fluid,suprapatellar bursa,knee joint
21484179_Fig2,enlarged heart,heart,heart
28094779_f6,IL-4 alternatively activated dendritic cells,,colitis
28094779_f6,IL-4,,colitis
28094779_f6,IL-10,,colitis
28094779_f6,arg-1,,colitis
28094779_f6,chil3 (Ym1),,colitis
28094779_f6,retnla,,colitis
28094779_f6,arginase-1,,colitis
28094779_f6,Ym1,,colitis
28094779_f6,DNBS,,colitis
28094779_f6,IL-4,lumen,colitis
28094779_f6,IL-4,muscle,colitis
19946477_F1,pericholecystic fat stranding,pericholecystic,gallbladder
27307854_fig8,soft-tissue sarcoma,left internal iliac lymph nodes,left internal iliac lymph nodes
27307854_fig8,soft-tissue sarcoma,left inguinal lymph nodes,left inguinal lymph nodes
21529357_F2,sternal plates,plates,sternum
27665994_fig_004,Hp infection,submucosa,small intestine
19946477_F2,pericholecystic fat stranding,gallbladder,gallbladder
19946477_F2,mild fluid,pelvis,pelvis
27307856_fig3ac,chondromyxoid fibroma,sphenoid sinus,sphenoid sinus
21660230_fig1,ground glass opacities,lower side,lung
28133559_fig4,osteochondroma,cartilaginous cap,bone
28133559_fig4,calcified chondrocytes,bone area,bone
28133559_fig4,epidermal and dermal layers,chondrocytic area,bone
19946500_F2,edema,,right gluteal maximus muscle
19946500_F2,inflammation,,right gluteal maximus muscle
19946500_F2,compartment syndrome,,right gluteal maximus muscle
19946500_F2,edema,,right gluteal medius muscle
19946500_F2,inflammation,,right gluteal medius muscle
19946500_F2,compartment syndrome,,right gluteal medius muscle
27307872_fig3a,Leydig-cell tumor,right testis,testis
27307872_fig3a,Leydig-cell tumor,left testis,testis
21660230_fig2,ground glass abnormalities,lung fields,lungs
28098220_f1,hair shaft,hair shaft,skin
28098220_f1,hair shaft,hair shaft,skin
28098220_f1,hair shaft,hair shaft,skin
28098220_f1,hair shaft,hair shaft,skin
28098220_f1,hair shaft,hair shaft,skin
20046252_f1-wjem-10-288,abscesses,right psoas muscle,psoas muscle
20046252_f1-wjem-10-288,abscesses,left psoas muscle medial border,psoas muscle
27307868_fig2ad,chronic hepatitis c,focal areas,liver
21660210_fig1,opacification,right hemithorax,thorax
28096327_rjw233F5,cystic spaces,muscularis propria,submucosa
28096327_rjw233F5,hyperplastic mucosal changes,,mucosa
19943922_F2,mass,,mesentery
19943922_F2,thickened wall,loop,small intestine
27307869_fig3de,MPNST,right L1-L2 neural foramen,spinal cord
27307869_fig3de,MPNST,L2 vertebral body,spinal cord
27307869_fig3de,MPNST,pedicles,spinal cord
27307869_fig3de,MPNST,thecal sac,spinal cord
21712924_F0002,pleural effusion,pleura,lung
28252108_f7,RVO,INL,retina
28252108_f7,RVO,INL,retina
28252108_f7,RVO,INL,retina
28252108_f7,cystoid edema,INL,retina
28252108_f7,swelling edema,INL,retina
19861752_F0002,cyst,nasal cavity,nasal cavity
21712925_F0001,pleural effusion,bilateral pleural spaces,pleura
28253279_pone.0172693.g001,inflammatory reactions,glomeruli,kidney
28253279_pone.0172693.g001,inflammatory reactions,glomeruli,kidney
28253279_pone.0172693.g001,reparative dentin formation,upper lobe,kidney
28253279_pone.0172693.g001,inflammatory reactions,glomeruli,kidney
28253279_pone.0172693.g001,reparative dentin formation,upper lobe,kidney
20142906_F0003,calcification,atrium,left atrium
20142906_F0003,calcification,root,aortic root
20142906_F0003,calcification,coronaries,proximal coronaries
20142906_F0003,calcification,valve ring,mitral valve ring
27354991_f0010,cervical tumor,right side,cervix
21712928_F0001,micronodular opacities,lower zones,lungs
28253358_pone.0173072.g007,Oct4 expression,alveoli-like structures,lung
28253358_pone.0173072.g007,Oct4 expression,cytoplasmic areas,lung
28253358_pone.0173072.g007,E-cadherin expression,alveoli-like structures,lung
28253358_pone.0173072.g007,E-cadherin expression,cytoplasmic areas,lung
19139611_F0001,cavity,lung segment,lung
27330606_fig1,Herlyn-Werner-Wunderlich syndrome,"uterine horns, cervices",uterus
21712928_F0002,micronodular opacities,mid zones,lungs
28253358_pone.0173072.g008,Sox2-expressing cells,alveoli,lung
19139612_F0001,homogenous low-density area,renal sinus,renal
19139612_F0001,distortion and displacement,pelvicalyceal system,renal
27330606_fig2,Herlyn-Werner-Wunderlich syndrome,vaginal septum,vagina
21804813_F1,foreign body,lower trachea,trachea
21804813_F1,foreign body,right main bronchus,trachea
28293485_FIG1,mucinous adenocarcinoma,pancreas,pancreas
28293485_FIG1,mucinous adenocarcinoma,pulmonary,lung
19139624_F0001,splenomegaly,multiple tiny lesions,spleen
27330606_fig3,Herlyn-Werner-Wunderlich syndrome,renal fossa,kidney
27330606_fig3,normal kidney,left kidney,kidney
21792357_fig1,pneumonia,alveoli,lung
28459882_pone.0176873.g003,adipose tissue,adipose,adipose tissue
19318750_F0002,calcific peritoneal deposits,peritoneal cavity,peritoneal cavity
27326296_fig1,ovarian sarcoidosis,,ovary
27326296_fig1,left adnexal mass,left adnexal,ovary
27326296_fig1,complex cystic lesion,posteriorly localized,ovary
27326296_fig1,enlarged lymph node,left internal iliac chain,internal iliac chain
21792357_fig5,surgical changes,lungs,lungs
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
19935789_fig1,missing items,,questionnaires
27326306_fig3a,ovarian torsion,ovary,ovary
21808403_F1,overdistension,,left upper lobe
21808403_F1,mediastinal shift,,left upper lobe
21808403_F1,partial collapse,right side,remaining lung fields
28496538_F3,acute chronic gastritis,epithelial surface,gastric
15988818_F1,splenic hematoma,"dark, irregular mass",spleen
15988818_F1,spontaneous hemoperitoneum,fluid accumulation,abdomen
27326306_fig3b,ovarian torsion,right adnexa,ovary
27326306_fig3b,cystic mass,right ovary,ovary
21808403_F3,pneumothorax,lung,lung
21808403_F3,atelectasis,lung,lung
28515693_F5,PAS-positive cytoplasmic droplets,proximal tubules,kidney
15988820_F1,mass,lumen,jejunum
27326269_fig1,sirenomelia,fused lower extremities,fetus
27326269_fig1,sirenomelia,absent kidneys,fetus
27326269_fig1,sirenomelia,absent urinary bladder,fetus
27326269_fig1,lumbar hemivertebra,lumbar,spine
27326269_fig1,focal kyphosis,lumbar,spine
27326269_fig1,oligohydramnios,,fetus
27326269_fig1,abnormal high insertion of the umbilical vein,,fetus
27326269_fig1,gallbladder,,fetus
21707974_F1,osteomyelitis,proximal part of the humerus,humerus
21707974_F1,osteolysis,proximal part of the humerus,humerus
21707974_F1,involucrum,proximal part of the humerus,humerus
21707974_F1,sequestration,proximal part of the humerus,humerus
21707974_F1,arthritis,,glenohumeral joints
21707974_F1,atrophic,,thymus
28503264_f6-tr-33-149,wound healing,skin,skin
20111882_Fig6,novel influenza A (H1N1),left lower lobe,lung
27326269_fig3,sirenomelia,fused location,lower extremities
21707974_F2,lytic lesions,metaphysis,humerus
28503389_FIG7,Rosai-Dorfman histiocytes,breast,breast
20459743_F1,dissecting aneurysm,,aortic arch
20459743_F1,dissecting aneurysm,,left subclavian artery
20459743_F1,dissecting aneurysm,,common carotid artery
20459743_F1,dissecting aneurysm,,aortic arch
20459743_F1,Kommerell's diverticulum,,aortic arch
27307939_fig1,hematoma,posterior fat,back
27307939_fig1,avulsion,trapezius,back
21707974_F3,infection,lungs,lung
28279018_Fig7,necrotic tissue,pink,tissue
28279018_Fig7,viable tissue,purple,tissue
28279018_Fig7,fat,white,tissue
28279018_Fig7,vessels,brown,tissue
20459743_F2,Kommerell's diverticulum,aberrant subclavian artery,artery
27307939_fig2,hematoma,trapezius,trapezius muscles
28773189_materials-10-00831-f009,calvarial defects,defect,calvarial
20459743_F3,thoracic aorta,empty,aorta
20459743_F3,heart,empty,heart
20459743_F3,lungs,empty,lungs
20459743_F3,ribcage,empty,ribcage
27307925_fig2,trapezius muscle retraction,spinous processes,muscle
27307925_fig2,hematoma,,muscle
27307925_fig2,nodularity,fluid collection,muscle
28775247_f2-amjcaserep-18-859,hypocellularity,bone marrow,bone marrow
28775247_f2-amjcaserep-18-859,osteosclerosis,bone marrow,bone marrow
28775247_f2-amjcaserep-18-859,proliferation of vascular sinuses,vascular sinuses,bone marrow
28775247_f2-amjcaserep-18-859,intrasinusoidal hematopoiesis,vascular sinuses,bone marrow
28775247_f2-amjcaserep-18-859,megakaryocytic atypia,bone marrow,bone marrow
28775247_f2-amjcaserep-18-859,reticulin fibers,bone marrow,bone marrow
28775247_f2-amjcaserep-18-859,collagenization,bone marrow,bone marrow
28775247_f2-amjcaserep-18-859,Von Willebrand immunostaining,bone marrow,bone marrow
28775247_f2-amjcaserep-18-859,reticulin staining,bone marrow,bone marrow
28775247_f2-amjcaserep-18-859,trichrome staining,bone marrow,bone marrow
19847088_F0001,lobular intravesical mass lesion,vesical base,renal
19847088_F0001,right vesicoureteric junction,right vesicoureteric junction,urinary bladder
27307901_fig3,heterogeneous mass lesion,empty,endolymphatic sac
27307901_fig3,heterogeneous mass lesion,empty,petrosal bone
27307901_fig3,heterogeneous mass lesion,empty,internal auditory canal
21804718_F1,lung,alveoli,lung
28828097_fig6,fibromatosis,fascia,fascia
20594305_F1,hepatic sarcoma,tissue,liver
27307901_fig4,mass lesion,left,endolymphatic sac
27307901_fig4,mass lesion,left,petrosal bone
27307901_fig4,mass lesion,left,mastoid air cells
21935284_F1,scoliotic deformity,vertebrae,thoracic
28797041_pone.0182102.g002,trigeminal ganglion,ganglion,TG
20927212_F0002,infiltrative mass,lateral orbital wall,orbit
27307901_fig5,endolymphatic sac tumor,endolymphatic sac,endolymphatic sac
27307901_fig5,destructive mass lesion,petrosal bone,petrosal bone
21949532_F1,mass-like lesion,hilar zone,lung
28750860_f0010,acute malnutrition,glomeruli,kidney
20927212_F0005,osteolytic lesions,orbital walls,orbit
27307901_fig6,endolymphatic sac tumor,left endolymphatic sac,endolymphatic sac
22025949_F1,lungs,lungs,lungs
22025949_F1,heart,heart,heart
22025949_F1,ribcage,ribcage,ribcage
22025949_F1,diaphragm,diaphragm,diaphragm
29112971_pone.0187419.g002,lung damage,empty,lung
29112971_pone.0187419.g002,increased neutrophil counts,empty,lung
29112971_pone.0187419.g002,increased albumin levels,empty,lung
29112971_pone.0187419.g002,inflammation,empty,lung
29112971_pone.0187419.g002,lung damage,empty,lung
29112971_pone.0187419.g002,increased neutrophil counts,empty,lung
29112971_pone.0187419.g002,increased albumin levels,empty,lung
29112971_pone.0187419.g002,inflammation,empty,lung
20927213_F0003,intraconal lesions,retrobulbar,orbit
27307909_fig1,adenocarcinoma,bladder,urinary bladder
22025949_F3,pneumonic infiltration,right lung field,lung
22025949_F3,atelectasis,right lung field,lung
29112971_pone.0187419.g003,neutrophils,airway,lung
29112971_pone.0187419.g003,macrophages,airway,lung
29112971_pone.0187419.g003,proteinaceous debris,airway,lung
20661400_F0005,fracture-dislocation,humeral head,shoulder
20661400_F0005,fracture-dislocation,humeral head and glenoid cavity,shoulder
27307909_fig2,"adenocarcinoma, clear-cell variant",inferior,urinary bladder
22025949_F5,pneumonia,lung field,lung
29112971_pone.0187419.g004,debris,airway,airway
20579339_F1,pseudoaneurysm,aorta,aorta
20579339_F1,compression,superior vena cava,superior vena cava
27307909_fig3,adenocarcinoma,periurethral mass,urethra
27307909_fig3,adenocarcinoma,vesicular region,vesicle
21968185_F3,eosinophilic pneumonitis,lung fields,lung
28800953_fig3,human K16-specific antibody,empty,skin
28800953_fig3,type VII collagen,BMZ,skin
28800953_fig3,murine wild-type tissue,empty,skin
20689733_fig2,tumor,"right, middle, left hepatic veins; segment 3",liver
20689733_fig2,tumor,,liver
20689733_fig2,tumor,,liver
20689733_fig2,tumor,,liver
20689733_fig2,tumor,,liver
27307909_fig4,"adenocarcinoma, clear-cell variant",periurethra,urethra
21970610_F1,homogenous opacity,right hemithorax,thorax
21970610_F1,partially calcific wall,right hemithorax,thorax
29147643_fig3,carcinoma,lamina propria,colon
29147643_fig3,carcinoma,renal cortex,kidney
20672008_fig1,mass,bladder neck,bladder
27307904_fig2,breast carcinoma,right breast,breast
22121421_F1,cardiac hydatid cyst,both lung fields,lung
29349096_fig4,alphaSMA,PSCs,pancreas
20186415_Fig6,zygoma augmentation,zygoma,cheekbone
27330641_fig3,venous tumor thrombus,inferior vena cava,inferior vena cava
22110512_fig1,lungs,either side,lungs
28901192_fig3-0963689717720280,cryogenic injury,right hemisphere,brain
28901192_fig3-0963689717720280,cryogenic injury,corpus callosum,brain
28901192_fig3-0963689717720280,hematoxylin and eosin staining,,brain
20591172_F3,cystic masses,pelvis,pelvic region
27330641_fig4,venous tumor thrombus,veins,pelvis
22220258_f1-mjhid-3-1-e2011061,lung infiltrates,lower lung fields,lung
28901192_fig5-0963689717720280,neuron-associated proteins,brain,brain
16768194_F1,mass,left ethmoid sinus,ethmoid sinus
16768194_F1,mass,left orbit,ethmoid sinus
16768194_F1,mass,left medial rectus muscle,ethmoid sinus
27330615_fig3b,hepatic metastasis,nodular mass,liver
22220258_f2-mjhid-3-1-e2011061,lung fields,lung,lung
29107286_fig2,Liver-ChREBP KO,glomeruli,liver
20635457_F1,hypointense lesion,posterior space,pharynx
27139586_f8,3CP nitroxide probe,empty,mice
22264278_F1,residual tumor,end of surgery,tumor
29121581_fig0020,phyllodes tumor,tissue,breast
20694149_pone-0011927-g002,TPCs,close proximity,skull
20694149_pone-0011927-g002,TPCs,close proximity,skull
20694149_pone-0011927-g002,mandibular fat bodies,near teeth,jaw
27464298_f2-cln_71p404,T1-weighted spin-echo (SE) coronal MR image,glomeruli,kidney
27464298_f2-cln_71p404,T1-weighted spin-echo (SE) coronal MR image,glomeruli,kidney
